,Saison,Resultat_match,Moy_cote_domicile,Max_cote_domicile,Min_cote_domicile,Moy_cote_exterieur,Max_cote_exterieur,Min_cote_exterieur,Moy_cote_nul,Max_cote_nul,Min_cote_nul,Nb_buts_equipe_dom_an_dernier,Nb_buts_equipe_ext_an_dernier,Num_match_dom,Moy_points_5_match_dom,Moy_buts_5_matchs_dom,Moy_tirs_cadres_5_matchs_dom,Moy_tirs_5_matchs_dom,Nb_jours_dernier_match_dom,Moy_nb_fautes_5_matchs_dom,Moy_corners_5_matchs_dom,Moy_carton_J_5_matchs_dom,Moy_carton_R_5_matchs_dom,Num_match_ext,Moy_points_5_match_ext,Moy_buts_5_matchs_ext,Moy_tirs_cadres_5_matchs_ext,Moy_tirs_5_matchs_ext,Nb_jours_dernier_match_ext,Moy_nb_fautes_5_matchs_ext,Moy_corners_5_matchs_ext,Moy_carton_J_5_matchs_ext,Moy_carton_R_5_matchs_ext,Points_moy_match_saison_dom,Points_moy_match_saison_ext,Pct_buts_par_tirs_cadres_5m_dom,Pct_buts_par_tirs_cadres_5m_ext,note_att_dom,note_mil_dom,note_def_dom,note_gen_dom,note_att_ext,note_mil_ext,note_def_ext,note_gen_ext,Res_an_dernier_A,Res_an_dernier_D,Res_an_dernier_H
2015 - Toulouse - Reims,2015,D,2.02,2.1,1.95,3.86,4.1,3.45,3.32,3.53,3.1,0.0,0.0,5,1.0,1.0,3.5,10.75,14,11.5,3.25,1.5,0.5,5,2.25,1.75,5.5,11.25,14,11.75,4.5,2.5,0.0,1.0,2.25,0.2857142857142857,0.3181818181818182,77,73,70,73,73,70,70,72,0,0,0
2015 - Troyes - Caen,2015,A,2.3,2.38,2.25,3.29,3.4,3.2,3.18,3.35,3.1,0.0,0.0,5,0.75,0.75,3.25,9.25,14,11.75,7.25,1.5,0.25,5,1.5,0.75,4.75,10.75,14,13.25,4.0,1.25,0.25,0.75,1.5,0.23076923076923078,0.15789473684210525,69,68,67,69,71,71,72,71,0,0,0
2015 - Ajaccio GFCO - Monaco,2015,A,4.42,4.8,3.45,1.96,2.1,1.91,3.22,3.32,3.1,0.0,0.0,5,0.25,0.0,3.0,8.5,15,12.75,4.25,3.0,0.0,5,1.25,0.75,3.5,11.25,14,14.25,5.5,1.75,0.0,0.25,1.25,0.0,0.21428571428571427,67,68,68,68,77,77,77,77,0,0,0
2015 - Marseille - Bastia,2015,H,1.49,1.53,1.44,7.53,8.5,7.0,4.02,4.3,3.6,0.0,0.0,5,0.75,1.5,5.25,15.0,16,11.25,8.75,2.25,0.25,5,1.75,1.75,2.75,8.5,14,12.5,2.75,1.25,0.75,0.75,1.75,0.2857142857142857,0.6363636363636364,77,76,74,76,70,71,71,71,0,0,0
2015 - Nantes - Rennes,2015,A,2.65,2.75,2.5,3.04,3.2,2.8,2.9,3.1,2.75,0.0,0.0,5,1.75,0.5,3.0,8.75,14,14.75,3.5,2.5,0.25,5,2.25,1.75,3.25,8.75,15,13.75,3.25,2.25,0.0,1.75,2.25,0.16666666666666666,0.5384615384615384,73,72,72,72,76,75,75,75,0,0,0
2015 - Rennes - Lille,2015,D,2.42,2.45,2.38,3.3,3.5,2.95,3.03,3.12,2.88,0.0,0.0,6,2.4,1.8,3.8,10.2,5,13.2,3.8,2.4,0.0,6,1.2,0.2,3.4,11.6,6,16.6,5.8,2.8,0.0,2.4,1.2,0.4736842105263158,0.05882352941176471,76,75,75,75,75,73,76,75,0,0,0
2015 - Angers - Troyes,2015,H,2.08,2.1,2.0,3.87,4.18,3.45,3.17,3.32,3.0,0.0,0.0,6,1.6,1.2,3.4,9.4,7,13.8,4.2,2.0,0.0,6,0.6,0.8,3.8,10.2,7,10.8,7.0,2.0,0.2,1.6,0.6,0.35294117647058826,0.2105263157894737,70,71,71,71,69,68,67,69,0,0,0
2015 - Bastia - Nice,2015,A,2.24,2.3,2.1,3.44,3.6,3.25,3.13,3.23,3.0,0.0,0.0,6,1.4,1.6,2.6,8.0,6,11.8,2.2,1.2,0.6,6,1.0,1.4,3.6,11.4,7,11.2,2.8,1.8,0.2,1.4,1.0,0.6153846153846154,0.38888888888888884,70,71,71,71,74,75,74,74,0,0,0
2015 - Caen - Montpellier,2015,H,2.17,2.22,2.1,3.52,3.75,3.3,3.23,3.43,3.1,0.0,0.0,6,1.8,1.2,5.4,11.6,7,12.4,4.2,1.0,0.4,6,0.2,0.2,3.8,10.8,7,12.0,5.0,2.0,0.0,1.8,0.2,0.2222222222222222,0.052631578947368425,71,71,72,71,70,73,74,73,0,0,0
2015 - Guingamp - Ajaccio GFCO,2015,H,1.86,1.92,1.78,4.75,5.25,4.0,3.3,3.5,3.2,0.0,0.0,6,1.2,0.6,3.8,11.2,7,15.6,4.2,2.2,0.0,6,0.2,0.0,3.2,11.6,6,13.4,6.2,3.0,0.0,1.2,0.2,0.15789473684210525,0.0,73,73,72,73,67,68,68,68,0,0,0
